  i  | fibonacci(i) |   time
   0 |            0 |  0.00000
   1 |            1 |  0.00000
   2 |            1 |  0.00000
   3 |            2 |  0.00000
   4 |            3 |  0.00000
   5 |            5 |  0.00000
   6 |            8 |  0.00000
   7 |           13 |  0.00000
   8 |           21 |  0.00000
   9 |           34 |  0.00000
  10 |           55 |  0.00000
  11 |           89 |  0.00000
  12 |          144 |  0.00000
  13 |          233 |  0.00000
  14 |          377 |  0.00000
  15 |          610 |  0.00000
  16 |          987 |  0.00000
  17 |         1597 |  0.00000
  18 |         2584 |  0.00000
  19 |         4181 |  0.00000
  20 |         6765 |  0.00100
  21 |        10946 |  0.00000
  22 |        17711 |  0.00000
  23 |        28657 |  0.00000
  24 |        46368 |  0.00000
  25 |        75025 |  0.00000
  26 |       121393 |  0.00100
  27 |       196418 |  0.00200
  28 |       317811 |  0.00200
  29 |       514229 |  0.00400
  30 |       832040 |  0.00600
  31 |      1346269 |  0.01000
  32 |      2178309 |  0.01500
  33 |      3524578 |  0.02700
  34 |      5702887 |  0.04200
  35 |      9227465 |  0.06700
  36 |     14930352 |  0.10600
  37 |     24157817 |  0.17200
  38 |     39088169 |  0.28500
  39 |     63245986 |  0.44400
  40 |    102334155 |  0.72500
  41 |    165580141 |  1.15900
  42 |    267914296 |  1.89800
  43 |    433494437 |  3.03600
  44 |    701408733 |  4.98700
  45 |   1134903170 |  8.02100
  46 |   1836311903 | 12.99800
  47 |   2971215073 | 20.95600
  48 |   4807526976 | 33.83800
  49 |   7778742049 | 54.58200
  50 |  12586269025 | 89.28300

Total execution time: 232.66700 sec
