  i  | fibonacci(i) |   time
   0 |            0 |  0.00000
   1 |            1 |  0.00000
   2 |            1 |  0.00000
   3 |            2 |  0.00000
   4 |            3 |  0.00000
   5 |            5 |  0.00000
   6 |            8 |  0.00000
   7 |           13 |  0.00000
   8 |           21 |  0.00000
   9 |           34 |  0.00000
  10 |           55 |  0.00000
  11 |           89 |  0.00000
  12 |          144 |  0.00000
  13 |          233 |  0.00000
  14 |          377 |  0.00000
  15 |          610 |  0.00000
  16 |          987 |  0.00000
  17 |         1597 |  0.00000
  18 |         2584 |  0.00000
  19 |         4181 |  0.00000
  20 |         6765 |  0.00000
  21 |        10946 |  0.00000
  22 |        17711 |  0.00000
  23 |        28657 |  0.00000
  24 |        46368 |  0.00000
  25 |        75025 |  0.00000
  26 |       121393 |  0.00000
  27 |       196418 |  0.00000
  28 |       317811 |  0.00000
  29 |       514229 |  0.00000
  30 |       832040 |  0.00000
  31 |      1346269 |  0.00000
  32 |      2178309 |  0.00000
  33 |      3524578 |  0.00000
  34 |      5702887 |  0.00000
  35 |      9227465 |  0.00000
  36 |     14930352 |  0.00000
  37 |     24157817 |  0.00000
  38 |     39088169 |  0.00000
  39 |     63245986 |  0.00000
  40 |    102334155 |  0.00000
  41 |    165580141 |  0.00000
  42 |    267914296 |  0.00000
  43 |    433494437 |  0.00000
  44 |    701408733 |  0.00000
  45 |   1134903170 |  0.00000
  46 |   1836311903 |  0.00000
  47 |   2971215073 |  0.00000
  48 |   4807526976 |  0.00000
  49 |   7778742049 |  0.00000
  50 |  12586269025 |  0.00000

Total execution time: 0.00000 sec
